,name,parent_zone,rent,sell,subzones,rentability_sqm1rooms,rentability_sqm3rooms,rentability_sqm2rooms,rentability_sqm4rooms,rentability_terrace,rentability_elevator,rentability_furnished,rentability_parking,avg_rentability,groups
"Cáceres Provincia, Cáceres",Cáceres Provincia,Cáceres,"{'sqm1rooms': 1641, 'sqm3rooms': 1181, 'sqm2rooms': 1313, 'sqm4rooms': 1202, 'terrace': 1269, 'elevator': 1404, 'furnished': 1144, 'parking': 1445, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1211, 'price': 129111, 'b100': 99842, 'a100': 154181}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}","['Cáceres Capital', 'Plasencia', 'Coria', 'Jarandilla De La Vera', 'Navalmoral De La Mata', 'Malpartida De Plasencia', 'Trujillo', 'Casar De Cáceres', 'Jaraíz De La Vera', 'Malpartida De Cáceres', 'Moraleja', 'Sierra De Fuentes', 'Arroyo De La Luz', 'Miajadas', 'Villanueva De La Vera', 'Madrigal De La Vera', 'Valencia De Alcántara', 'Montánchez', 'Alcuéscar', 'Aldeanueva De La Vera']",4.404186795491143,2.4345495774067203,3.157768157768158,2.3066589905968145,2.3777403035413154,2.488038277511962,2.5941043083900226,2.440054035798717,2.7753875558131065,0
"Cáceres Capital, Cáceres Provincia",Cáceres Capital,Cáceres Provincia,"{'sqm1rooms': 1924, 'sqm3rooms': 1328, 'sqm2rooms': 1482, 'sqm4rooms': 1352, 'terrace': 1415, 'elevator': 1460, 'furnished': 1332, 'parking': 1549, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1368, 'price': 146573, 'b100': 108767, 'a100': 178866}","{'sqm1rooms': 600, 'sqm3rooms': 616, 'sqm2rooms': 583, 'sqm4rooms': 658, 'terrace': 714, 'elevator': 661, 'furnished': 602, 'parking': 688, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 647, 'b100': 547, 'a100': 792}","['Centro', 'Ciudad Monumental', 'Mejostilla', 'Ruta De La Plata', 'Nuevo Cáceres', 'La Cañada', 'Aguas Vivas - La Zambomba', 'Pedanías De Cáceres', 'Ceres Golf']",3.562962962962963,2.3953823953823954,2.8244711263579187,2.283012495778453,2.2019919078742607,2.454193982181879,2.458471760797342,2.5016149870801034,2.585262702301914,0
"Centro, Cáceres Capital",Centro,Cáceres Capital,"{'sqm1rooms': 2022, 'sqm3rooms': 1443, 'sqm2rooms': 1826, 'sqm4rooms': 1436, 'terrace': 1476, 'elevator': 1512, 'furnished': 1447, 'parking': 1723, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1466, 'price': 161657, 'b100': 120968, 'a100': 188688}","{'sqm1rooms': 600, 'sqm3rooms': 670, 'sqm2rooms': 617, 'sqm4rooms': 709, 'terrace': 761, 'elevator': 671, 'furnished': 609, 'parking': 914, 'avgsqm': 70, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 0, 'pricepersqm': 6, 'price': 697, 'b100': 561, 'a100': 808}",[],4.814285714285714,3.0767590618336884,4.227830516323223,2.8934112431996777,2.770790313497278,3.219076005961252,3.394323246539995,2.69302907158487,3.3861881466532124,3
"Ciudad Monumental, Cáceres Capital",Ciudad Monumental,Cáceres Capital,"{'sqm1rooms': 1843, 'sqm3rooms': 1150, 'sqm2rooms': 1171, 'sqm4rooms': 1121, 'terrace': 1103, 'elevator': 1268, 'furnished': 1189, 'parking': 1357, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1153, 'price': 118566, 'b100': 96572, 'a100': 140948}","{'sqm1rooms': 600, 'sqm3rooms': 616, 'sqm2rooms': 583, 'sqm4rooms': 658, 'terrace': 714, 'elevator': 661, 'furnished': 602, 'parking': 688, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 647, 'b100': 547, 'a100': 792}",[],3.412962962962963,2.0743145743145743,2.231751477034496,1.8929415737926378,1.716464363523187,2.131450663977139,2.1945367294204505,2.1915374677002584,2.2307449765907132,3
"Mejostilla, Cáceres Capital",Mejostilla,Cáceres Capital,"{'sqm1rooms': -1, 'sqm3rooms': 1293, 'sqm2rooms': 1204, 'sqm4rooms': 1298, 'terrace': 1341, 'elevator': 1426, 'furnished': 1235, 'parking': 1334, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 1290, 'price': 121707, 'b100': 105243, 'a100': 153319}","{'sqm1rooms': 600, 'sqm3rooms': 616, 'sqm2rooms': 583, 'sqm4rooms': 658, 'terrace': 714, 'elevator': 661, 'furnished': 602, 'parking': 688, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 647, 'b100': 547, 'a100': 792}",[],-0.001851851851851852,2.3322510822510822,2.294644558795502,2.191827085444107,2.086834733893557,2.397041519583123,2.279438907345884,2.154392764857881,1.9668223500399107,3
"Ruta De La Plata, Cáceres Capital",Ruta De La Plata,Cáceres Capital,"{'sqm1rooms': 2000, 'sqm3rooms': 1585, 'sqm2rooms': 1706, 'sqm4rooms': 1642, 'terrace': 1658, 'elevator': 1653, 'furnished': 1513, 'parking': 1786, 'avgsqm': 120, 'avgtype': 'Piso', 'avgrooms': 4, 'avgfloors': 3, 'pricepersqm': 1642, 'price': 202236, 'b100': 127618, 'a100': 221338}","{'sqm1rooms': 600, 'sqm3rooms': 616, 'sqm2rooms': 583, 'sqm4rooms': 658, 'terrace': 714, 'elevator': 661, 'furnished': 602, 'parking': 688, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 647, 'b100': 547, 'a100': 792}",[],3.7037037037037033,2.8589466089466087,3.25138174194778,2.7727119216480918,2.580143168378463,2.778618255168936,2.792543373938723,2.8843669250645996,2.9528019623496133,0
"Nuevo Cáceres, Cáceres Capital",Nuevo Cáceres,Cáceres Capital,"{'sqm1rooms': 1688, 'sqm3rooms': 1277, 'sqm2rooms': 1205, 'sqm4rooms': 1276, 'terrace': 1395, 'elevator': 1423, 'furnished': 1260, 'parking': 1603, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1268, 'price': 118159, 'b100': 98305, 'a100': 162023}","{'sqm1rooms': 600, 'sqm3rooms': 616, 'sqm2rooms': 583, 'sqm4rooms': 658, 'terrace': 714, 'elevator': 661, 'furnished': 602, 'parking': 688, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 647, 'b100': 547, 'a100': 792}",[],3.1259259259259258,2.3033910533910533,2.296550409757957,2.15467747382641,2.1708683473389354,2.391998655236174,2.3255813953488373,2.588824289405685,2.4197271937788725,3
"La Cañada, Cáceres Capital",La Cañada,Cáceres Capital,"{'sqm1rooms': -1, 'sqm3rooms': 913, 'sqm2rooms': 986, 'sqm4rooms': 898, 'terrace': 864, 'elevator': 913, 'furnished': 903, 'parking': 943, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 897, 'price': 84318, 'b100': 80622, 'a100': 90901}","{'sqm1rooms': 600, 'sqm3rooms': 616, 'sqm2rooms': 583, 'sqm4rooms': 658, 'terrace': 714, 'elevator': 661, 'furnished': 602, 'parking': 688, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 647, 'b100': 547, 'a100': 792}",[],-0.001851851851851852,1.646825396825397,1.8791690489803696,1.5163796014859845,1.3445378151260505,1.5347117162548327,1.6666666666666667,1.5229328165374678,1.3886714012531145,3
"Aguas Vivas - La Zambomba, Cáceres Capital",Aguas Vivas - La Zambomba,Cáceres Capital,"{'sqm1rooms': -1, 'sqm3rooms': 1446, 'sqm2rooms': 1654, 'sqm4rooms': 1406, 'terrace': 1499, 'elevator': 1624, 'furnished': 1417, 'parking': 1673, 'avgsqm': 100, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1477, 'price': 149019, 'b100': 128584, 'a100': 158698}","{'sqm1rooms': 600, 'sqm3rooms': 616, 'sqm2rooms': 583, 'sqm4rooms': 658, 'terrace': 714, 'elevator': 661, 'furnished': 602, 'parking': 688, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 647, 'b100': 547, 'a100': 792}",[],-0.001851851851851852,2.608225108225108,3.1522774919001337,2.3741979061128,2.3327108621226267,2.7298705664817615,2.6153562200073828,2.7018733850129197,2.3140824610013597,3
"Pedanías De Cáceres, Cáceres Capital",Pedanías De Cáceres,Cáceres Capital,"{'sqm1rooms': 1924, 'sqm3rooms': 1328, 'sqm2rooms': 1482, 'sqm4rooms': 1352, 'terrace': 1415, 'elevator': 1460, 'furnished': 1332, 'parking': 1549, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1368, 'price': 146573, 'b100': 108767, 'a100': 178866}","{'sqm1rooms': 600, 'sqm3rooms': 616, 'sqm2rooms': 583, 'sqm4rooms': 658, 'terrace': 714, 'elevator': 661, 'furnished': 602, 'parking': 688, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 647, 'b100': 547, 'a100': 792}",[],3.562962962962963,2.3953823953823954,2.8244711263579187,2.283012495778453,2.2019919078742607,2.454193982181879,2.458471760797342,2.5016149870801034,2.585262702301914,0
"Ceres Golf, Cáceres Capital",Ceres Golf,Cáceres Capital,"{'sqm1rooms': 1924, 'sqm3rooms': 1328, 'sqm2rooms': 1482, 'sqm4rooms': 1352, 'terrace': 1415, 'elevator': 1460, 'furnished': 1332, 'parking': 1549, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 1368, 'price': 146573, 'b100': 108767, 'a100': 178866}","{'sqm1rooms': 600, 'sqm3rooms': 616, 'sqm2rooms': 583, 'sqm4rooms': 658, 'terrace': 714, 'elevator': 661, 'furnished': 602, 'parking': 688, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 647, 'b100': 547, 'a100': 792}",[],3.562962962962963,2.3953823953823954,2.8244711263579187,2.283012495778453,2.2019919078742607,2.454193982181879,2.458471760797342,2.5016149870801034,2.585262702301914,0
"Plasencia, Cáceres Provincia",Plasencia,Cáceres Provincia,"{'sqm1rooms': 1235, 'sqm3rooms': 996, 'sqm2rooms': 1199, 'sqm4rooms': 1029, 'terrace': 1087, 'elevator': 1213, 'furnished': 1111, 'parking': 1081, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 1053, 'price': 107149, 'b100': 85803, 'a100': 133905}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}","['Centro Ciudad', 'Los Pinos - El Pilar', 'Miralvalle - Av. Virgen Del Puerto - La Data', 'Zona Sur - Av. De España - San Miguel', 'Zona Norte - Hospital - Urbanizaciones']",3.3145464304884595,2.0531849103277677,2.8835978835978837,1.9746689694876225,2.0367247517331837,2.1495658337763603,2.5192743764172336,1.8253968253968256,2.344619997653167,0
"Centro Ciudad, Plasencia",Centro Ciudad,Plasencia,"{'sqm1rooms': 1371, 'sqm3rooms': 1061, 'sqm2rooms': 1121, 'sqm4rooms': 1054, 'terrace': 1066, 'elevator': 1178, 'furnished': 1094, 'parking': 1259, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 1070, 'price': 115900, 'b100': 85822, 'a100': 146730}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],3.6795491143317234,2.187177901463616,2.6960076960076957,2.022644406064095,1.9973768034476296,2.087542087542088,2.4807256235827664,2.12597095575819,2.4096243235247257,0
"Los Pinos - El Pilar, Plasencia",Los Pinos - El Pilar,Plasencia,"{'sqm1rooms': -1, 'sqm3rooms': 1087, 'sqm2rooms': 1667, 'sqm4rooms': 1120, 'terrace': 1300, 'elevator': 1458, 'furnished': 1229, 'parking': 1361, 'avgsqm': 70, 'avgtype': 'Piso', 'avgrooms': 4, 'avgfloors': 5, 'pricepersqm': 1195, 'price': 121528, 'b100': 107281, 'a100': 135775}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],-0.0026838432635534083,2.2407750979179553,4.00913900913901,2.1492995586259838,2.435825370058085,2.583732057416268,2.7868480725623583,2.298210064167511,2.312643173327952,0
"Miralvalle - Av. Virgen Del Puerto - La Data, Plasencia",Miralvalle - Av. Virgen Del Puerto - La Data,Plasencia,"{'sqm1rooms': -1, 'sqm3rooms': 958, 'sqm2rooms': 1263, 'sqm4rooms': 1143, 'terrace': 1236, 'elevator': 1299, 'furnished': 1315, 'parking': 1295, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 4, 'avgfloors': 5, 'pricepersqm': 1153, 'price': 109331, 'b100': 86463, 'a100': 142000}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],-0.0026838432635534083,1.9748505462791177,3.0375180375180375,2.1934369602763386,2.315907813378302,2.3019670388091438,2.9818594104308387,2.186761229314421,2.1237021490928307,0
"Zona Sur - Av. De España - San Miguel, Plasencia",Zona Sur - Av. De España - San Miguel,Plasencia,"{'sqm1rooms': -1, 'sqm3rooms': 895, 'sqm2rooms': 924, 'sqm4rooms': 880, 'terrace': 890, 'elevator': 1006, 'furnished': 949, 'parking': 849, 'avgsqm': 80, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 3, 'pricepersqm': 882, 'price': 76588, 'b100': 74532, 'a100': 84356}","{'sqm1rooms': 414, 'sqm3rooms': 539, 'sqm2rooms': 462, 'sqm4rooms': 579, 'terrace': 593, 'elevator': 627, 'furnished': 490, 'parking': 658, 'avgsqm': 90, 'avgtype': 'Piso', 'avgrooms': 3, 'avgfloors': 5, 'pricepersqm': 6, 'price': 552, 'b100': 480, 'a100': 661}",[],-0.0026838432635534083,1.8449804164089878,2.2222222222222223,1.6887353674918442,1.6676035225782273,1.7827396774765196,2.151927437641723,1.4336372847011145,1.5986452606571357,0
